sdasda,0,2025-06-03,11:24:51
sdasda,10,2025-06-03,11:24:21
sadasd,10,2025-06-03,11:33:15
sadasd,4,2025-06-03,11:33:34
sadasd,7,2025-06-03,11:33:53
sadasd,3,2025-06-03,11:34:04
sadasd,1,2025-06-03,11:34:14
sadasd,2,2025-06-03,11:34:25
sadasd,19,2025-06-03,11:34:59
Master Diego,12,2025-06-03,11:38:30
dsadsa,0,2025-06-03,11:39:38
dssadsda,14,2025-06-03,11:40:18
sadasd,2,2025-06-03,11:41:11
asdasd,2,2025-06-03,11:41:37
saddsa,6,2025-06-03,11:42:06
6514,2,2025-06-03,11:42:40
asdsad ,3,2025-06-03,11:43:21
asdsad,0,2025-06-03,11:43:43
saddsa,2,2025-06-03,11:44:11
sdadas,1,2025-06-03,11:44:39
sadsad,5,2025-06-03,11:45:46
asd,1,2025-06-03,11:46:07
dasdas,7,2025-06-03,11:47:40
dsadas,2,2025-06-03,11:48:12
saddas,3,2025-06-03,11:53:49
asdasd,1,2025-06-03,11:54:18
asdsa,1,2025-06-03,11:54:46
asdsad,2,2025-06-03,11:55:29
diego,4,2025-06-05,11:58:31
dsadsa,4,2025-06-05,11:59:10
dsadsa,1,2025-06-05,12:00:40
dsadsa,1,2025-06-05,12:00:56
dasdas,3,2025-06-05,12:02:25
dasdas,5,2025-06-05,12:02:40
Diego Meira,3,2025-06-05,12:03:17
Diego Meira,3,2025-06-05,12:03:28
Diego Meira,9,2025-06-05,12:03:48
Diego Meira,6,2025-06-05,12:04:07
Diego Meira,8,2025-06-05,12:04:28
Diego Meira,26,2025-06-05,12:05:15
Diego,23,2025-06-05,12:47:10
dsasad,10,2025-06-05,12:52:36
dsasad,12,2025-06-05,12:53:04
Diego,0,2025-06-05,13:11:44
Diego,3,2025-06-05,13:31:39
Diego,5,2025-06-05,13:31:57
Diego Meira,1,2025-06-05,13:40:12
Diego,0,2025-06-05,13:44:10
Diegio,1,2025-06-06,22:12:08
Diegio,3,2025-06-06,22:12:20
Diegio,16,2025-06-06,22:12:50
saddsa,0,2025-06-06,22:13:49
dsadsa,2,2025-06-06,22:23:28
dsadsa,2,2025-06-06,22:23:56
dsasda,3,2025-06-06,22:29:16
sdadsa,0,2025-06-06,22:29:55
dsasd,0,2025-06-06,22:30:19
diego,3,2025-06-06,22:44:23
gffgd ,1,2025-06-06,22:44:50
çlçl,3,2025-06-06,22:49:17
çlçl,0,2025-06-06,22:49:43
Diego,8,2025-06-07,20:21:43
Diego,4,2025-06-07,20:21:56
Diego,7,2025-06-07,20:22:12
Diego,14,2025-06-07,20:22:39
Diego,2,2025-06-07,20:23:13
diego,1,2025-06-07,20:47:31
diego,4,2025-06-07,20:49:08
diego,0,2025-06-07,20:50:12
diego,2,2025-06-07,20:50:34
diego,0,2025-06-07,20:50:41
diego,0,2025-06-07,20:50:47
diego,3,2025-06-07,20:50:57
diego,6,2025-06-07,20:51:46
diego,1,2025-06-07,20:53:14
diego,3,2025-06-07,20:53:28
diego,3,2025-06-07,20:53:43
hggjh,0,2025-06-07,20:54:59
hggjh,0,2025-06-07,20:55:14
Diego,6,2025-06-07,20:58:39
